"Notes"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Race"	"Race Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"25-34 years"	"25-34"	"Female"	"F"	"1995"	"1995"	"Other Race"	"2131-1"	"Shotgun"	"E965.1"	2	1133403	0.2 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1995"	"1995"	"Other Race"	"2131-1"	"Other and unspecified firearm"	"E965.4"	22	1133403	1.9
	"25-34 years"	"25-34"	"Female"	"F"	"1995"	"1995"	"Other Race"	"2131-1"	"Assault by cutting and piercing instrument"	"E966"	9	1133403	0.8 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1995"	"1995"	"Other Race"	"2131-1"	"Fire"	"E968.0"	1	1133403	0.1 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1995"	"1995"	"Other Race"	"2131-1"	"Other specified means"	"E968.8"	4	1133403	0.4 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1995"	"1995"	"Other Race"	"2131-1"	"Unspecified means"	"E968.9"	3	1133403	0.3 (Unreliable)
"Total"	"25-34 years"	"25-34"	"Female"	"F"	"1995"	"1995"	"Other Race"	"2131-1"			50	1133403	4.4
	"25-34 years"	"25-34"	"Female"	"F"	"1995"	"1995"	"White"	"2106-3"	"Rape"	"E960.1"	1	16875115	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1995"	"1995"	"White"	"2106-3"	"Drugs and medicinal substances"	"E962.0"	1	16875115	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1995"	"1995"	"White"	"2106-3"	"Assault by hanging and strangulation"	"E963"	83	16875115	0.5
	"25-34 years"	"25-34"	"Female"	"F"	"1995"	"1995"	"White"	"2106-3"	"Assault by submersion (drowning)"	"E964"	5	16875115	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1995"	"1995"	"White"	"2106-3"	"Handgun"	"E965.0"	37	16875115	0.2
	"25-34 years"	"25-34"	"Female"	"F"	"1995"	"1995"	"White"	"2106-3"	"Shotgun"	"E965.1"	41	16875115	0.2
	"25-34 years"	"25-34"	"Female"	"F"	"1995"	"1995"	"White"	"2106-3"	"Hunting rifle"	"E965.2"	7	16875115	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1995"	"1995"	"White"	"2106-3"	"Other and unspecified firearm"	"E965.4"	297	16875115	1.8
	"25-34 years"	"25-34"	"Female"	"F"	"1995"	"1995"	"White"	"2106-3"	"Other specified explosive"	"E965.8"	18	16875115	0.1 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1995"	"1995"	"White"	"2106-3"	"Assault by cutting and piercing instrument"	"E966"	108	16875115	0.6
	"25-34 years"	"25-34"	"Female"	"F"	"1995"	"1995"	"White"	"2106-3"	"Fire"	"E968.0"	6	16875115	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1995"	"1995"	"White"	"2106-3"	"Pushing from a high place"	"E968.1"	2	16875115	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1995"	"1995"	"White"	"2106-3"	"Striking by blunt or thrown object"	"E968.2"	11	16875115	0.1 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1995"	"1995"	"White"	"2106-3"	"Other specified means"	"E968.8"	39	16875115	0.2
	"25-34 years"	"25-34"	"Female"	"F"	"1995"	"1995"	"White"	"2106-3"	"Unspecified means"	"E968.9"	36	16875115	0.2
	"25-34 years"	"25-34"	"Female"	"F"	"1995"	"1995"	"White"	"2106-3"	"Late effects of injury purposely inflicted by other person"	"E969"	5	16875115	0.0 (Unreliable)
"Total"	"25-34 years"	"25-34"	"Female"	"F"	"1995"	"1995"	"White"	"2106-3"			697	16875115	4.1
"Total"	"25-34 years"	"25-34"	"Female"	"F"	"1995"	"1995"					1321	20930892	6.3
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"Black or African American"	"2054-5"	"Rape"	"E960.1"	1	2933402	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"Black or African American"	"2054-5"	"Assault by hanging and strangulation"	"E963"	64	2933402	2.2
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"Black or African American"	"2054-5"	"Assault by submersion (drowning)"	"E964"	4	2933402	0.1 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"Black or African American"	"2054-5"	"Handgun"	"E965.0"	28	2933402	1.0
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"Black or African American"	"2054-5"	"Shotgun"	"E965.1"	19	2933402	0.6 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"Black or African American"	"2054-5"	"Other and unspecified firearm"	"E965.4"	231	2933402	7.9
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"Black or African American"	"2054-5"	"Assault by cutting and piercing instrument"	"E966"	86	2933402	2.9
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"Black or African American"	"2054-5"	"Fire"	"E968.0"	6	2933402	0.2 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"Black or African American"	"2054-5"	"Striking by blunt or thrown object"	"E968.2"	12	2933402	0.4 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"Black or African American"	"2054-5"	"Other specified means"	"E968.8"	18	2933402	0.6 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"Black or African American"	"2054-5"	"Unspecified means"	"E968.9"	29	2933402	1.0
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"Black or African American"	"2054-5"	"Late effects of injury purposely inflicted by other person"	"E969"	2	2933402	0.1 (Unreliable)
"Total"	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"Black or African American"	"2054-5"			500	2933402	17.0
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"Other Race"	"2131-1"	"Assault by hanging and strangulation"	"E963"	4	1177591	0.3 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"Other Race"	"2131-1"	"Handgun"	"E965.0"	4	1177591	0.3 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"Other Race"	"2131-1"	"Shotgun"	"E965.1"	2	1177591	0.2 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"Other Race"	"2131-1"	"Other and unspecified firearm"	"E965.4"	13	1177591	1.1 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"Other Race"	"2131-1"	"Assault by cutting and piercing instrument"	"E966"	8	1177591	0.7 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"Other Race"	"2131-1"	"Fire"	"E968.0"	1	1177591	0.1 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"Other Race"	"2131-1"	"Unspecified means"	"E968.9"	5	1177591	0.4 (Unreliable)
"Total"	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"Other Race"	"2131-1"			37	1177591	3.1
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"White"	"2106-3"	"Rape"	"E960.1"	1	16693415	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"White"	"2106-3"	"Drugs and medicinal substances"	"E962.0"	1	16693415	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"White"	"2106-3"	"Assault by hanging and strangulation"	"E963"	67	16693415	0.4
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"White"	"2106-3"	"Assault by submersion (drowning)"	"E964"	3	16693415	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"White"	"2106-3"	"Handgun"	"E965.0"	35	16693415	0.2
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"White"	"2106-3"	"Shotgun"	"E965.1"	27	16693415	0.2
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"White"	"2106-3"	"Hunting rifle"	"E965.2"	9	16693415	0.1 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"White"	"2106-3"	"Other and unspecified firearm"	"E965.4"	226	16693415	1.4
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"White"	"2106-3"	"Other specified explosive"	"E965.8"	1	16693415	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"White"	"2106-3"	"Assault by cutting and piercing instrument"	"E966"	82	16693415	0.5
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"White"	"2106-3"	"Fire"	"E968.0"	14	16693415	0.1 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"White"	"2106-3"	"Pushing from a high place"	"E968.1"	2	16693415	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"White"	"2106-3"	"Striking by blunt or thrown object"	"E968.2"	7	16693415	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"White"	"2106-3"	"Other specified means"	"E968.8"	30	16693415	0.2
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"White"	"2106-3"	"Unspecified means"	"E968.9"	59	16693415	0.4
	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"White"	"2106-3"	"Late effects of injury purposely inflicted by other person"	"E969"	3	16693415	0.0 (Unreliable)
"Total"	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"	"White"	"2106-3"			567	16693415	3.4
"Total"	"25-34 years"	"25-34"	"Female"	"F"	"1996"	"1996"					1104	20804408	5.3
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"Black or African American"	"2054-5"	"Rape"	"E960.1"	1	2928982	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"Black or African American"	"2054-5"	"Assault by corrosive or caustic substance, except poisoning"	"E961"	1	2928982	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"Black or African American"	"2054-5"	"Assault by hanging and strangulation"	"E963"	61	2928982	2.1
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"Black or African American"	"2054-5"	"Handgun"	"E965.0"	18	2928982	0.6 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"Black or African American"	"2054-5"	"Shotgun"	"E965.1"	14	2928982	0.5 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"Black or African American"	"2054-5"	"Hunting rifle"	"E965.2"	1	2928982	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"Black or African American"	"2054-5"	"Other and unspecified firearm"	"E965.4"	202	2928982	6.9
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"Black or African American"	"2054-5"	"Assault by cutting and piercing instrument"	"E966"	68	2928982	2.3
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"Black or African American"	"2054-5"	"Fire"	"E968.0"	6	2928982	0.2 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"Black or African American"	"2054-5"	"Pushing from a high place"	"E968.1"	1	2928982	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"Black or African American"	"2054-5"	"Striking by blunt or thrown object"	"E968.2"	4	2928982	0.1 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"Black or African American"	"2054-5"	"Other specified means"	"E968.8"	21	2928982	0.7
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"Black or African American"	"2054-5"	"Unspecified means"	"E968.9"	35	2928982	1.2
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"Black or African American"	"2054-5"	"Late effects of injury purposely inflicted by other person"	"E969"	2	2928982	0.1 (Unreliable)
"Total"	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"Black or African American"	"2054-5"			435	2928982	14.9
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"Other Race"	"2131-1"	"Assault by hanging and strangulation"	"E963"	2	1226757	0.2 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"Other Race"	"2131-1"	"Hunting rifle"	"E965.2"	2	1226757	0.2 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"Other Race"	"2131-1"	"Other and unspecified firearm"	"E965.4"	8	1226757	0.7 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"Other Race"	"2131-1"	"Assault by cutting and piercing instrument"	"E966"	9	1226757	0.7 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"Other Race"	"2131-1"	"Fire"	"E968.0"	2	1226757	0.2 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"Other Race"	"2131-1"	"Other specified means"	"E968.8"	3	1226757	0.2 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"Other Race"	"2131-1"	"Unspecified means"	"E968.9"	4	1226757	0.3 (Unreliable)
"Total"	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"Other Race"	"2131-1"			30	1226757	2.4
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"White"	"2106-3"	"Unarmed fight or brawl"	"E960.0"	1	16413044	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"White"	"2106-3"	"Rape"	"E960.1"	2	16413044	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"White"	"2106-3"	"Drugs and medicinal substances"	"E962.0"	2	16413044	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"White"	"2106-3"	"Other solid and liquid substances"	"E962.1"	2	16413044	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"White"	"2106-3"	"Assault by hanging and strangulation"	"E963"	66	16413044	0.4
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"White"	"2106-3"	"Assault by submersion (drowning)"	"E964"	2	16413044	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"White"	"2106-3"	"Handgun"	"E965.0"	31	16413044	0.2
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"White"	"2106-3"	"Shotgun"	"E965.1"	27	16413044	0.2
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"White"	"2106-3"	"Hunting rifle"	"E965.2"	4	16413044	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"White"	"2106-3"	"Other and unspecified firearm"	"E965.4"	226	16413044	1.4
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"White"	"2106-3"	"Assault by cutting and piercing instrument"	"E966"	75	16413044	0.5
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"White"	"2106-3"	"Fire"	"E968.0"	8	16413044	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"White"	"2106-3"	"Striking by blunt or thrown object"	"E968.2"	7	16413044	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"White"	"2106-3"	"Other specified means"	"E968.8"	28	16413044	0.2
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"White"	"2106-3"	"Unspecified means"	"E968.9"	53	16413044	0.3
	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"White"	"2106-3"	"Late effects of injury purposely inflicted by other person"	"E969"	2	16413044	0.0 (Unreliable)
"Total"	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"	"White"	"2106-3"			536	16413044	3.3
"Total"	"25-34 years"	"25-34"	"Female"	"F"	"1997"	"1997"					1001	20568783	4.9
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"Black or African American"	"2054-5"	"Unarmed fight or brawl"	"E960.0"	1	2913772	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"Black or African American"	"2054-5"	"Other gases and vapors"	"E962.2"	1	2913772	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"Black or African American"	"2054-5"	"Assault by hanging and strangulation"	"E963"	46	2913772	1.6
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"Black or African American"	"2054-5"	"Assault by submersion (drowning)"	"E964"	1	2913772	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"Black or African American"	"2054-5"	"Handgun"	"E965.0"	17	2913772	0.6 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"Black or African American"	"2054-5"	"Shotgun"	"E965.1"	11	2913772	0.4 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"Black or African American"	"2054-5"	"Other and unspecified firearm"	"E965.4"	188	2913772	6.5
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"Black or African American"	"2054-5"	"Assault by cutting and piercing instrument"	"E966"	63	2913772	2.2
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"Black or African American"	"2054-5"	"Fire"	"E968.0"	6	2913772	0.2 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"Black or African American"	"2054-5"	"Pushing from a high place"	"E968.1"	1	2913772	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"Black or African American"	"2054-5"	"Striking by blunt or thrown object"	"E968.2"	2	2913772	0.1 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"Black or African American"	"2054-5"	"Other specified means"	"E968.8"	20	2913772	0.7
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"Black or African American"	"2054-5"	"Unspecified means"	"E968.9"	38	2913772	1.3
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"Black or African American"	"2054-5"	"Late effects of injury purposely inflicted by other person"	"E969"	1	2913772	0.0 (Unreliable)
"Total"	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"Black or African American"	"2054-5"			396	2913772	13.6
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"Other Race"	"2131-1"	"Assault by hanging and strangulation"	"E963"	3	1262887	0.2 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"Other Race"	"2131-1"	"Handgun"	"E965.0"	3	1262887	0.2 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"Other Race"	"2131-1"	"Shotgun"	"E965.1"	1	1262887	0.1 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"Other Race"	"2131-1"	"Hunting rifle"	"E965.2"	1	1262887	0.1 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"Other Race"	"2131-1"	"Other and unspecified firearm"	"E965.4"	14	1262887	1.1 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"Other Race"	"2131-1"	"Assault by cutting and piercing instrument"	"E966"	9	1262887	0.7 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"Other Race"	"2131-1"	"Striking by blunt or thrown object"	"E968.2"	2	1262887	0.2 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"Other Race"	"2131-1"	"Other specified means"	"E968.8"	3	1262887	0.2 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"Other Race"	"2131-1"	"Unspecified means"	"E968.9"	6	1262887	0.5 (Unreliable)
"Total"	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"Other Race"	"2131-1"			42	1262887	3.3
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"White"	"2106-3"	"Unarmed fight or brawl"	"E960.0"	1	16089859	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"White"	"2106-3"	"Drugs and medicinal substances"	"E962.0"	3	16089859	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"White"	"2106-3"	"Assault by hanging and strangulation"	"E963"	59	16089859	0.4
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"White"	"2106-3"	"Assault by submersion (drowning)"	"E964"	2	16089859	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"White"	"2106-3"	"Handgun"	"E965.0"	28	16089859	0.2
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"White"	"2106-3"	"Shotgun"	"E965.1"	33	16089859	0.2
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"White"	"2106-3"	"Hunting rifle"	"E965.2"	3	16089859	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"White"	"2106-3"	"Other and unspecified firearm"	"E965.4"	200	16089859	1.2
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"White"	"2106-3"	"Assault by cutting and piercing instrument"	"E966"	76	16089859	0.5
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"White"	"2106-3"	"Fire"	"E968.0"	7	16089859	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"White"	"2106-3"	"Striking by blunt or thrown object"	"E968.2"	7	16089859	0.0 (Unreliable)
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"White"	"2106-3"	"Other specified means"	"E968.8"	26	16089859	0.2
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"White"	"2106-3"	"Unspecified means"	"E968.9"	67	16089859	0.4
	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"White"	"2106-3"	"Late effects of injury purposely inflicted by other person"	"E969"	4	16089859	0.0 (Unreliable)
"Total"	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"	"White"	"2106-3"			516	16089859	3.2
"Total"	"25-34 years"	"25-34"	"Female"	"F"	"1998"	"1998"					954	20266518	4.7
"Total"	"25-34 years"	"25-34"	"Female"	"F"							26866	413328840	6.5
	"25-34 years"	"25-34"	"Male"	"M"	"1979"	"1979"	"Black or African American"	"2054-5"	"Unarmed fight or brawl"	"E960.0"	4	1886000	0.2 (Unreliable)
	"25-34 years"	"25-34"	"Male"	"M"	"1979"	"1979"	"Black or African American"	"2054-5"	"Drugs and medicinal substances"	"E962.0"	1	1886000	0.1 (Unreliable)
	"25-34 years"	"25-34"	"Male"	"M"	"1979"	"1979"	"Black or African American"	"2054-5"	"Other solid and liquid substances"	"E962.1"	1	1886000	0.1 (Unreliable)
	"25-34 years"	"25-34"	"Male"	"M"	"1979"	"1979"	"Black or African American"	"2054-5"	"Assault by hanging and strangulation"	"E963"	16	1886000	0.8 (Unreliable)
	"25-34 years"	"25-34"	"Male"	"M"	"1979"	"1979"	"Black or African American"	"2054-5"	"Assault by submersion (drowning)"	"E964"	3	1886000	0.2 (Unreliable)
	"25-34 years"	"25-34"	"Male"	"M"	"1979"	"1979"	"Black or African American"	"2054-5"	"Handgun"	"E965.0"	146	1886000	7.7
	"25-34 years"	"25-34"	"Male"	"M"	"1979"	"1979"	"Black or African American"	"2054-5"	"Shotgun"	"E965.1"	163	1886000	8.6
	"25-34 years"	"25-34"	"Male"	"M"	"1979"	"1979"	"Black or African American"	"2054-5"	"Hunting rifle"	"E965.2"	25	1886000	1.3
	"25-34 years"	"25-34"	"Male"	"M"	"1979"	"1979"	"Black or African American"	"2054-5"	"Other and unspecified firearm"	"E965.4"	1637	1886000	86.8
	"25-34 years"	"25-34"	"Male"	"M"	"1979"	"1979"	"Black or African American"	"2054-5"	"Assault by cutting and piercing instrument"	"E966"	485	1886000	25.7
	"25-34 years"	"25-34"	"Male"	"M"	"1979"	"1979"	"Black or African American"	"2054-5"	"Fire"	"E968.0"	4	1886000	0.2 (Unreliable)
	"25-34 years"	"25-34"	"Male"	"M"	"1979"	"1979"	"Black or African American"	"2054-5"	"Pushing from a high place"	"E968.1"	1	1886000	0.1 (Unreliable)
	"25-34 years"	"25-34"	"Male"	"M"	"1979"	"1979"	"Black or African American"	"2054-5"	"Striking by blunt or thrown object"	"E968.2"	21	1886000	1.1
	"25-34 years"	"25-34"	"Male"	"M"	"1979"	"1979"	"Black or African American"	"2054-5"	"Criminal neglect"	"E968.4"	1	1886000	0.1 (Unreliable)
	"25-34 years"	"25-34"	"Male"	"M"	"1979"	"1979"	"Black or African American"	"2054-5"	"Other specified means"	"E968.8"	30	1886000	1.6
	"25-34 years"	"25-34"	"Male"	"M"	"1979"	"1979"	"Black or African American"	"2054-5"	"Unspecified means"	"E968.9"	53	1886000	2.8
	"25-34 years"	"25-34"	"Male"	"M"	"1979"	"1979"	"Black or African American"	"2054-5"	"Late effects of injury purposely inflicted by other person"	"E969"	5	1886000	0.3 (Unreliable)
"Total"	"25-34 years"	"25-34"	"Male"	"M"	"1979"	"1979"	"Black or African American"	"2054-5"			2596	1886000	137.6
	"25-34 years"	"25-34"	"Male"	"M"	"1979"	"1979"	"Other Race"	"2131-1"	"Unarmed fight or brawl"	"E960.0"	2	403000	0.5 (Unreliable)
	"25-34 years"	"25-34"	"Male"	"M"	"1979"	"1979"	"Other Race"	"2131-1"	"Assault by hanging and strangulation"	"E963"	2	403000	0.5 (Unreliable)
	"25-34 years"	"25-34"	"Male"	"M"	"1979"	"1979"	"Other Race"	"2131-1"	"Handgun"	"E965.0"	2	403000	0.5 (Unreliable)
	"25-34 years"	"25-34"	"Male"	"M"	"1979"	"1979"	"Other Race"	"2131-1"	"Shotgun"	"E965.1"	8	403000	2.0 (Unreliable)
	"25-34 years"	"25-34"	"Male"	"M"	"1979"	"1979"	"Other Race"	"2131-1"	"Hunting rifle"	"E965.2"	1	403000	0.2 (Unreliable)
	"25-34 years"	"25-34"	"Male"	"M"	"1979"	"1979"	"Other Race"	"2131-1"	"Other and unspecified firearm"	"E965.4"	41	403000	10.2
	"25-34 years"	"25-34"	"Male"	"M"	"1979"	"1979"	"Other Race"	"2131-1"	"Assault by cutting and piercing instrument"	"E966"	23	403000	5.7
	"25-34 years"	"25-34"	"Male"	"M"	"1979"	"1979"	"Other Race"	"2131-1"	"Striking by blunt or thrown object"	"E968.2"	2	403000	0.5 (Unreliable)
	"25-34 years"	"25-34"	"Male"	"M"	"1979"	"1979"	"Other Race"	"2131-1"	"Other specified means"	"E968.8"	10	403000	2.5 (Unreliable)
	"25-34 years"	"25-34"	"Male"	"M"	"1979"	"1979"	"Other Race"	"2131-1"	"Unspecified means"	"E968.9"	3	403000	0.7 (Unreliable)
"Total"	"25-34 years"	"25-34"	"Male"	"M"	"1979"	"1979"	"Other Race"	"2131-1"			94	403000	23.3
	"25-34 years"	"25-34"	"Male"	"M"	"1979"	"1979"	"White"	"2106-3"	"Unarmed fight or brawl"	"E960.0"	9	15573000	0.1 (Unreliable)
